,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pentakosta,"Hari raya lepas tujuh minggu, hari Pentakosta",day of Pentikos (R); ,"Pentecost means fifty. This harvest festival comes in the month of May, 50 days after the yearly Passover feast. It was on Pentecost, in the year 33, that the Holy Spirit first came down upon all who believed in Jesus.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pondok Daun,,day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"At the yearly Feast of Shelters in October or November, Jews rejoice because the harvest has been completed. They stay in temporary shelters for one week, to honour their ancestors who dwelt forty years in shelters while wandering in a wilderness.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Paskah,Paskah,feast of go past (R); big day of worship of Go Past (K); ,"During the yearly feast of Passover in March or April, Jews remember how their ancestors escaped from slavery in the country of Egypt. At that time God warned that he would send his angel to kill the eldest son of every house in Egypt, except where they would kill a lamb and smear its blood on their front door post. Here the angel passed over without harming anyone.",hari raya Roti Tidak Beragi,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Roti Tidak Beragi,,feast of bread no yeast in it (R); big day of worship of bread no yeast in it (K); ,"The yearly feast of Unleavened Bread lasts for the seven days following the Festival of the Passover. During these seven days, the Jews eat bread with no yeast in it, to remember how their ancestors  escaped from Egypt (so fast that they had no time to wait to bake yeast bread).",Paskah,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Feliks,,,"Felix was the Roman governor over Judea between the years 52 and 60. A dishonest man, he kept Paul in prison at Cesaria for two years. He once became alarmed when he heard Paul explain about God's judgement.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya,,,"Festivals are special days when people remember their past or honor God. People may eat a meal together as part of a feast. Israel has seven annual feasts, including the Feast of Passover.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Festus,,,"Festus replaced Felix as Roman governor over Judea in the year 62. He left Paul in prison at Cesaria, until he sent Paul to Rome to be judged by Caesar, the Roman emperor.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,ara,buah ara,fig (R); ,Fig is a kind of fruit tree. Its fruit is very sweet.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,orang bodoh,bebal,"the one who doesn't really know things (G);
","A fool is anyone who makes poor/stupid/bad choices, even when others warn him. God want fools to repent, to learn wisdom and to obey him. The book of Proverbs often contrasts foolish people and wise people.","hikmat, bijaksana",,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,mengampuni,"pengampunan, diampuni",erase (R); put arm around their shoulders (S-I);,"To forgive is to choose not to punish those who have sinned or disobeyed. When forgiven, those who did wrong no longer have guilt or shame for what they had done.","kesalahan, malu, mentahirkan, menguduskan",,,,,,,,,,,,,,,,,,,,,,,,,,
t,membentuk,"dibentuk, bentuk",,"To form something means (1) to change its shape to look like something else (e.g. clay can be formed to look like an image of something), or (2) to bring people together in a new group.","Mengukir, mendirikan, membangun
",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,rubah,"Rubah-rubah, serigala",fox (G); ,"A fox is a wild animal like a small dog with beautiful fur, a bushy tail, sharp teeth and non-retractible claws.  Foxes hunt with stealth like a cat and eat smaller animals like rats, mice, snakes and rabbits.  Some cultures use the fox in a metaphorical way to describe attributes like beauty, cunning, wise or tricky.  For example, if a woman is beautiful, she might be called a fox.  King Herod was called a fox, meaning Herod was wiley or dangerously tricky.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kemenyan,,"sticky substance whose smoke smells good (R);
 powder cooked/burned and its smoke smells good and it is called insens (K)","Frankincense is good smelling powder made of sap of a tree. When it is burned, it makes a sweet smell. Because the Jews had to bring it from a distance, it was expensive.",ukupan,good smelling powder made of sap of a tree (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,perapian,dapur peleburan,fire (W);,"A furnace is place or large box in which one burns wood or another fuel to produce high heat, like a kiln for curing bricks or pottery.  (The Babylonians disposed of dead bodies by cremation, by burning them in a furnace.) (Craftsmen used furnaces to purify metals such as silver or gold.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gadara,orang Gadara,,Garadene was a region near the Lake Galilee where there were many Gentile people who ate pig meat.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Galilea,,,Galilee was a region or province in the northern part of Israel around a very large lake called the Sea of Galilee. It has many fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gehazi,,,Gehazi was a servant of the prophet Elisha. He once sinned by asking for a gift from a Syrian offcial whom Elisha had healed of leprosy.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,orang yang bukan Yahudi,"orang yang tidak mengenal Allah, Bangsa-bangsa yang tidak mengenal Allah","who is not a Jew (W);
people who are not Jews (R); ","Gentiles are all groups and individuals who are  neither Israelites nor Jews. In Jesus' time, most Gentiles worshipped false gods and idols. (Before Jesus returned to heaven, he commanded his apostles to go make disciples for him amongst all the Gentile nations.)
Sometimes, the term gentile is used in a generic sense in the New Testament to refer to a category of people who do not believe or belong to God.","orang Yahudi, orang Ibrani","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of ""sinner"" or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of ""belonging to God"" or ""believer"" (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",,,,,,,,,,,,,,,,,,,,,,,,
n,Gibea,"Gibeon, orang Gibeon",,Gibea was a pagan city in Canaan when Joshua and the Israelites were conquering the land. (The Gibeonites deceived Joshua to make a peace pact with them.),,,Let the Bible tell the story.,07 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Orang Gibeon,Gibeon,,"The Gibeonites were Canaanites from Gibea town who pretended to be from outside of Canaan, in order to make peace with Joshua and his army. Because the Israelists forgot to ask God, they were deceived by the Gibeonites and made peace with them, even though they really were Canaanites.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gideon,,,"Gideon lived around 1200 years before Jesus. He was a farmer who became a leader or judge over the Israelites, after he led a small army against a big enemy army. (God frightened the big army so that it fled away.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kemuliaan,"dimuliakan, memuliakan","light;
greatness;
praise (give glory to God);
strength and/or beauty (G);
allah (W); decoration/beauty (R);","Glory means (1) great power, (2) bright light, (3) beauty and (4) the presence of God.",,References to Allah/islam not helpful in PNG ,,,,,,,,,,,,,,,,,,,,,,,,,
t,kambing,Kambing-kambing,deer-like animal with long hair (G); ,"Goats are gentle animals whose meat and milk people eat. Goats often dwell in same herds with sheep. Sheep tails hang downwards, whilst goat tails curl upwards. Adult male goats, called rams, will fight using their horns, and are a symbol for nations that go to war.","domba, gembala",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Allah,Allah yang abadi,"eternal one;
Creator;
the God who lives / has lived forever (G); God (R); Allah (W);","God is the One Great, Eternal Spirit who created everything and all living creatures. God rules over heaven and earth. He has commanded everyone to abandon their gods and to worship only him. (There is no other god as great as he.) (This One Great God came into the world as a human being, Jesus the Messiah.)","Tuhan, berhala, allah-allah, dewa-dewa",Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,emas,,,Gold and silver are shiny metals that many countries use as money and use to make jewelry. The Israelite Ark of the Covenant was covered with shiny gold. Gold is mined from the earth.  To purify it requires heating it with a very hot fire until it melts and the dirt can be separated from it.,perak,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gomora,,,"Gomorrah was a city near Sodom where Abraham's nephew Lot chose to live. The population was so evil, that God destroyed it with fire that fell from the sky (around 2000 years before Jesus lived).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,baik,,"good (G);
","People call ""good"" anything and anyone that they evaluate to be right, true, honest, kind or useful. To be ""just"" or ""right"" means to have a good standing with God or to follow his laws.","benar, adil",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Injil,kabar baik,"Good Report (W);
beautiful speech (G);good telling (R);
 good talk (K);","Gospel means Good News. It is the message (from Jesus’ apostles) that God forgives the sins and gives eternal life to all who repent and put their faith in Jesus, who died on a cross, was buried, rose three days after, and appeared to many eye-witnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,wali negeri,gubernur,"ruling person (of a region);
chief (of the people in a country) (G);big leader from the government (R); kilifa (W from Arabic)",Governors are officials who rule over a region or part of a nation. Only a king has more power.,"raja, pemimpin
",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,kasih karunia,,"forgive; make good;
coming/falling onto (to help/aid/show mercy to someone);
and nobody pays for it (W);
pity and patience (for people) (G);love/pity (K); like (K)
","Grace is the love that God has for us humans, by which he forgives us, rescues us from harm, helps us lead a better life, gives us power to serve him, and will bring us into his eternal kingdom.","mengampuni, rahmat, kasih","also, make good (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,Buah anggur,,wine seeds (R); ,"Grapes are a kind of fruit that grow on a vine, not a tree. Their juice is used to make wine. (The Jews used to plant many vines on their farms and cultivate them so that they would bear plenty of fruit.)","pokok anggur, anggur",reseng not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yunani,,,"Greece is a country in Europe. Athens and Corinth cities are in Greece. Around 350 years before Jesus, Greece conquered Israel and many other countries. Most of those countries began speaking and reading the Greek language. The New Testament books are written in Greek. Greek was language of scholars, not ordinary people's mother tongue",,"Greek was language of scholars, not ordinary people's mother tongue (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,kesalahan,salah,"the condition of having done something bad (G);
that deseriving death (W);","Guilt means someone has violated or broken a law. A guilty person is someone who has broken a law. All humans become guilty before God when they begin to break his laws. All guilty people must be punished.  The consequence of guilt is punishment.  Usually, a person who is guilty will feel shame.","mengampuni, kecemaran, menguduskan, malu","this is an exception, very strong: that deserving death (W); (Hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hagar,,,"Hagar lived around 2000 years ago. She was a slave girl in the house of Sarah, Abraham's wife. At the time when Sarah had not yet borne a child, she asked Abraham to lie with Hagar, and Hagar bore a child who was named Ishmael. (But Ishmael was not the child whom God had promised to give to Abraham with Sarah. Twelve years later, Sarah bore a son with Abraham who named him Isaac. Isaac is the son whom God had promised.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hujan es,,ice stones; frozen rain stones,Hail consists of frozen chunks of water (ice) that fall from the sky like rain; hard frozen rain.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haman,,,"Haman was a descendent of pagan king Agag who hated Israel. When Persian King Xerxes made him an official, Haman set about to kill Mordecai and all Jews in the Persian Empire.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hana,,,"Hannah was a co-wife of Elkanah. She had no child until she prayed to the Lord at Shiloh. She bore a son named Samuel who became a prophet over Israel. (The name Hannah means ""grace"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Hanun,,,An Ammonite King who shamed David's ambassadors.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haran,,,There were several men and a city named Haran. One Haran was a brother of Abraham and father of Lot..  The city called Haran was where Abram's father died.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,surga,"langit, sorga","the Above;
sky;
way up high (G); heaven (R); ","Heaven means everything that is above the ground or earth, including the air, the clouds, the sky, God’s unseen city, and all creatures that dwell there. ",bumi,try to separate heaven and sky; asaman not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,orang Ibrani,"orang Yahudi, orang Israel","Jew-people; Jew-talk;
","Hebrew means Abraham’s descendants (the twelve tribes) and their language, whom God chose to be his special nation. The Hebrews later were called Israelites (after God changed Jacob's name to Israel) and still later Jews (because many Israelites lived in Judah/Jewdah).",orang yang bukan Yahudi,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebron,,,There were two towns (cities) named Hebron. Abraham and Jacob worshipped God near Hebron in Canaan. King David often went to Hebron in Judah.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kawanan,,,"A herd is a group of animals, especially domesticated (non wild) animals with hoofs that people (shepherds) keep together and look after as livestock to support themselves.",gembala; ternak,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hermes,,,"Hermes, who is also called Mercury, was a Greek and Roman god that, pagans believed, served as a messenger for other gods.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Herodes,,,"Herod is the family name of kings whom the Romans put in power over parts of Israel. Four of those kings were (1) Herod the Great in Judea (King during the time Jesus was a baby), (2) Herod Antipas in Galilee (who ruled during the time Jesus was preaching), 3) Herod Agrippa the First  in Judea (who ruled after Jesus' resurrection and persecuted the early Christians) and (4) Herod Agrippa the Second in Judea (who ruled during the time Paul was being tried).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,imam besar ,imam kepala,leader of the giving to God ones (R); head man of priests (U), The High (Chief) Priest was the leader of all the priests. The High Priest was the only person permitted to go into the Most Holy Place in the Tabernacle or Temple where he would sacrifice to God for his own sins and the sins the people had done.,imam,other language: head man of priests (Urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,kudus,"kekudusan, maha kudus ","unique;
set apart / special / sacred;
pure or having no sin/guilt/moral fault;
belonging to God (associated with God);
staying away from bad things/deeds (G);
Pure (W); belonging to God (R); clean (R); straight (k);","Holy means (1) pure, clean, (2) forgiven; (3) unique, different from others; set apart; dedicated or belonging to God, and (4) faithful to God. Jesus was called the Holy One, and God himself is called the Holy Spirit. (The Bible calls Christians Saints, which means Holy people.)","Roh Kudus, dosa, orang kudus",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Roh Kudus,"Roh Allah, Roh Yesus Kristus, Roh Kudus Allah","God's Spirit;
God's breath;
the Attractive/Good Spirit (G);
Spirit of Jesus;
The Pure Breath (W); Straight Spirit (R); bright/perfect breath/wind (U)","Because God is holy, and God is a Spirit, the bible calls God the Holy Spirit. As Jesus was God with us in visible form, so the Holy Spirit is God with us in unseen form. (Jesus promised that the Holy Spirit would come abide with those who have faith in Jesus.)

",roh,other language: bright/perfect breath/wind (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,menghormati,"Hormati, dihormati, terhormat","honor / speak well of (G);
stay under authority / have first place / lift up/praise name of / make happy (U)t","To honor someone is to tell how great or good a person is, or to show respect for a person's age, wisdom or authority.","menyembah, memuji, bersyukur","other language: stay under authority (urt), have first place (urt), lift up/praise name of (urt), make happy (urt)",GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kuda,Kuda-kuda,,"Horses are big, strong, fast running animals that humans can ride on.  They can be made to pull wagons and chariots, or to carry loads. Horses come in many sizes, but they are generally shorter than camels and bigger than donkeys. ",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,hosana,,osaana (R); praise / be happy with (U);,"""Hosanna"" is a greeting that Jews used to shout to give honor to their king. It means ""May God save him!"". ",,"praise (urt), be happy with (urt)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hisop,,(little) tree called isop (K); ,"Hyssop is a kind of plant. Israel's priests used to dip a hyssop leaf into blood from a sacrifice, then sprinkle people or things with the blood to make them holy in the sight of God.",,"Hyssop is a shrub, not a tree.",,,,,,,,,,,,,,,,,,,,,,,,,
t,berhala,"Berhala-berhala, allah-allah, dewa-dewa","(carved/man-made) image worshipped by people;
image;
false god (G, K);
carving (W, R)","Idols are objects that folk desire more than they desire God. An idol is a created, visible image made to represent something not usually visible.  Some folk carve idols from wood or from stone. Folk believe that a god or a spirit comes and dwells in the idol, so they pray to the idol, supposing that the god will hear them.",Allah,,"False only in the sense that they are not Yahweh, the incomparable Creator. The spirits of gods do exist and pagans do pray to them.",,,,,,,,,,,,,,,,,,,,,,,,
t,ukupan,,"sticky substance whose smoke smells good (R);
 powder cooked/burned and its smoke smells good and it is called insens (K)",Incense is the sap or parts of a tree that smell sweet when burned. Many religions burn insence while worsipping their gods.,kemenyan,,,,,,,,,,,,,,,,,,,,,,,,,,
t,besi,,,"Iron is a strong metal useful to make tools, weapons, war carts or chariots (to be pulled by horses) and chains.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Ishak,,,"Isaac lived about 1900 years before Jesus. Isaac was the son that God promised to Abraham that his wife Sarah would bear. Isaac is also the son whom Abraham offered to sacrifice to the Lord God. (When Sarah heard God's promise that she would bear a son even though she was already old, she laughed. Isaac means laughter.)",,,The spirit of Antichrist has promulgathed a false docrine that Abraham offered his bastard son Ishmael.,,,,,,,,,,,,,,,,,,,,,,,,
n,Yesaya,,,"Isaiah lived around 800 years before Jesus. He often spoke to the kings of Judah, and wrote the Book of Isaiah, making many predictions about the Messiah. Jesus said that Isaiah wrote about him.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Israel,"orang Israel, orang-orang Israel",,"Israelites are descended from Jacob whose name became Israel. Israelites were members of the country called Israel. (After the tribes invaded Canaan, they named their nation Israel.) After the country split in two, northerers were called Israelites and southeners called Judeans. ","orang Ibrani, orang Yahudi",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yabin,,,"Jaban was a Canaanite king whose army oppressed the Israelites. After they prayed to the Lord, the Israelites defeated Jabin's army and killed him.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Yakub,,,"Jacob lived about 1850 years before Jesus. He was a son of Isaac and grandson of Abraham. After Jabob wrestled with an angel from God, the angel have him a new name, Israel. Israel's twelve sons became the ancestors of the twelve tribes of Israel. (Thus, the Israelites are sometimes called the House of Jacob.)",Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yael,,,"Jael was a Kenite woman whose clan lived in Israel but was at peace with the Canaanites. When Sisera fled from the Israelite army he took refuge in Jael's tent, where she killed him as he slept. (The name Jael means ""The Lord is God"".)",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,penjara,"Penjara-penjara, mempenjarakan, dipenjarakan, penjarakan, penjarakanlah","place where one is emprisoned (G);
","A jail or prison is a small house or room in which governments lock up criminals or those accused of a crime. Joseph was locked up in a jail in Egypt, Peter in a jail in Jerusalem, and Paul in a jail in Rome.  A person who is locked up in a jail is called a prisoner.  A person who is in authority over a jail or prison is called a jailor.",belenggu,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yakobus,,,There were several men named James. Two were a Apostles. Another was Jesus' brother James who later became a Christian and a leader in the churches at Jerusalem. (The Hebrew form of James is Jacob which means Surplanter.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t ,cemburu,"iri hati, iri",,"Jealousy can mean (1) to feel badly or angry when someone else succeeds or gets what you want, (2) to envy others, or (3) to desire what they have. Jealousy can lead you to sin. God feels jealous when his people worship other gods.",,,The slant (/) has no meaning.,,"Key Term Database including back translation contributions from the following languages: Daasanach (D), Wolof (W), Guajajara (G), Kandas (K) and Ramoaaina (R). © 2019 Wycliffe Bible Translators, Inc.",,,,,,,,,,,,,,,,,,,,,,
n,Yoyakhin,Konya,,"Jehoachin, also called Coniah and Jehoiachin, was king of Judah (southern Israel) when a Babylonian army invaded and capture the City of Jerusalem 598 years before Christ.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Yoyada,,,Jehoiada was high priest in the temple at Jerusalem before and during the reign of King Joash. His wife rescued baby Joash from being killed by evil Queen Athaliah.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Yefta,,,"Jephthah lived about 1700 years before Jesus during the time of the judges. He became the leader of the Israelite's army, leading it to victory.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yeremia,,,"Jeremiah lived around 600 years before Jesus, before and during the time when Israel was destroyed by Babylon. He was a prophet of God who called the Israelites to repent of their disobedience, warning them that the Bablonians would come capture Jerusalem and take them into captivity for 70 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerikho,,,"Jericho was the name of a strong, walled city in Canaan. It was where Rahab lived. Jericho was the first city that Joshua and the Israelites defeated with God's miraculous help. God caused the walls of Jericho to fall down.",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerobeam,,,"After King Soloman died, his kingdom was divided in two. Jeroboam became king over the northern part, which they called Israel. Jeroboam told the Israelites to stop going to Jerusalem, and to worship the Lord by bowing to idols that looked like a bull, and he made himself to be a priest. These actions displeased the Lord. Jeroboam was a wicked king.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yerusalem,,,"After king David captured Jerusalem, it became Israel's capital city. (The name Jerusalem means Peace City.)  King Solomon built a temple for God at Jerusalem. For 1000 years, Jerusalem city remained the central place of worship for Jews. Another name for Jerusalem is Mount Zion, because it is located on a hill. Jerusalem has been destroyed and rebuilt several times. ",Sion,, ,,,,,,,,,,,,,,,,,,,,,,,,
n,Isai,,,"Jesse was the father of King David, who was an ancestor of Jesus Christ. In the Old Testament, the prophet Isaiah had written that the Messiah or Christ would be a descendant of Jesse and of David.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yesus,,"Yeesu in Roman script, Isaa in Arabic script (W);","(An angel told Mary and Joseph to name her son) Jesus, which means ""God Saves""  because he would save people from their sins. Jesus is the promised Messiah or Christ. He is God come in human flesh, the only Saviour. (He worked miracles on earth, he died because of our sins, he rose to life three days later, and he has ascended into heaven from whence he will return one day to judge the living and the dead and to continue ruling over the kingdom which he is even now in the process of building). Some other titles which are given to Jesus are: Jesus Christ, Messiah, Son of God, Son of Man, Son of David.",,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yitro,Rehuel,,"Jethro was the title of a priest of Midian. His personal name was Reuel (Ex. 4.18). Moses married one of Jethro's daughters in about 1400 BCE. (The name Reuel means ""friend of God"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,orang Yahudi,"Orang-orang Yahudi, Yahudi, orang-orang Ibrani",people (a tribe) called Jews; sons of Israel (W);,"The Jews were descendants from Abraham and Jacob, also called Israel. They lived in the land called Judah, thus the title Jews. The Jews were known as ""God's people"" because God chose them to be the nation through whom he would make himself known and through whom the Messiah would be born. God chose Israel, the Jews, to be a light to all the nations, to show God to all the world. The ethnic Jews did not do that. So God sent Jesus, born as a Jew, to fulfill his purpose to bring light and life to all the nations in the world. Jesus taught that a ""true"" Jew was not an ethnic descendant from Abraham, but rather any person (no matter their biological ethnicity) who trusted and obeyed God like Abraham did.  ","orang yang bukan Yahudi, orang Israel","I would leave this out from notes: Sometimes the term ""Jew"" is used figuratively/generically in the New Testament to refer to believers, Christians, people who truly belong to God. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,permata,Permata-permata,stone (R); beads (R); stones you pay big money (U);,"Jewels are beautiful stones of difference colours, that cost a lot of money. The high priest of Israel wore jewels on his breast plate (to symbolize the 12 tribes of Israel). The New Jerusalem is described in the Book of Revelation as having walls made of jewels.",,other language: stones you pay big money,,,,,,,,,,,,,,,,,,,,,,,,,
t,pemimpin agama Yahudi,"Pemimpin-pemimpin agama Yahudi, pemimpin Yahudi, pemimpin-pemimpin Yahudi","leaders of Jews who believe in God (G);
","Jewish religious leaders included priests, rabbis, scribes and teachers who were supposed to help others understand and obey God's laws. Many such leaders disbelieved in Jesus and tried to harm Jews who became Christians.","Farisi, Saduki",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yoab,,,Joab was a loyal commander over David's army for many years.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Yoas,,,"Joash was a king of Judah (Southern Israel) about 800 years before Christ. While young, he served the Lord, but when old, he did evil and was killed.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Ayub,,,"Job was a famous, rich, godly, good man who lived long, long ago. After enemies stole all of his wealth and Satan killed his children, he became very sick. His friends accused him of secret sins, but Job knew he was a good man, so he wanted to ask God why he was suffering. After he became humble, God restored his health and his wealth, and he had more children.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yohanes,,Yowanna (W),"The name John means ""God's Grace"". Men in the Bible named John include (1) the baptiser who warned people to return to God, (2) an apostle of Jesus who was one of three very close to Jesus and who wrote the Gospel, several letters and almost certainly the Reveltion, (3) Barnabas' cousin called John Mark who wrote a Gospel, (4) Peter's father, (5) a relative of a high priest.",,Arabic ref.,Some believe that (2) and (6) be the same man.," Several people named John are mentioned in the New Testament. The two most important are John the Baptizer and John the Apostle: (1) John the Baptizer was the prophet who prepared the way for Jesus. He was a prophet in the tradition of Elijah, and like Elijah he warned the people to repent and come back to God. See Matthew 3:1–15; 11:2–19; 14:1–12; 17:13; 21:24–32; Mark 1:4–11; 6:14–29; 11:29–33; Luke 1:13–17, 57–63, 76–80; 3:2–20; 7:18–33; 11:1; John 1:6–8, 15, 19–36; 3:22–30. (2) John the Apostle was the son of Zebedee and brother of James. He was one of the twelve apostles of Jesus. He wrote the Gospel of John and the Letters of John, and almost certainly the Book of Revelation. See Matthew 4:21–22; 10:2; 17:1–13; Mark 1:29; 3:17; 5:37; 9:1–13, 38; 10:35–41; 13:3; Luke 8:51; 9:28–36, 49, 54; 22:8; Acts 3:1–11; 4:13, 19–20; 8:14–17; Galatians 2:9; Revelation 1:1, 4, 9; 22:2, 8. (3) John Mark, the cousin of Barnabas and co-worker of Paul, wrote the Gospel of Mark (Acts 12:12; 13:4–13; 15:37–39; Colossians 4:10; 2 Timothy 4:11; Philemon 24; 1 Peter 5:13). (4) John was the name of the father of Simon Peter (Matthew 16:17; John 1:42; 21:15–17). (5) Also there was a member of the family of the High Priest Annas named John (Acts 4:6).",,,,,,,,,,,,,,,,,,,,,,,
n,Yunus,,,"Jonah lived around 800 years before Jesus. His name means Dove, a kind of bird. He was a prophet of God who (reluctantly) called the wicked city of Ninivah to repent. (Jesus once said that he himself would return to life three days after his death, as Jonah was three days in a big fish that had swollowed him.) God used Jonah's life as a message as much as Jonah's words.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yonatan,,,"Jonathan was King Saul's son. He and David became very good friends. When Saul and Jonathan died in battle, David became king in their stead. (The name Jonathan means Gift from the Lord.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yafo,,,"Joppa was a town on the sea coast to the West of Jerusalem, where ships and boats came and went. ",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Yordan,sungai Yordan,,"Jordan is the name of the long river that flows from north to south in the land of Israel. On the west side of the Jordan is good farmland, whereas east side of the Jordan remains wilderness.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yusuf,,," Men named Joseph include (1) Jacob's eleventh son, (2) Mary's husband, (3) one of Jesus' brothers, (4) the rich Jewish leader who buried Jesus' body, and others.
Jacob's son Joseph was sold as a slave in Egypt about 1800 years before Jesus, (and became an important official in Egypt where he brought Jacob's family to stay 400 years). (The name Joseph means He will Add.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
